tax_year,reit_name,taxpayer_id,asset_id,parcel_id,building_id,tax_name,tax_classification,official_value,taxable_area,ownership_share,fair_market_value_ratio,tax_base,bracket,base_amount,tax_rate,multiplier,calculated_tax,verified_tax,variance,calculation_status,law_name,article,formula_text,input_source,source_url,calculation_timestamp
2026,ESR켄달스퀘어리츠,TP-b0ecddc79c1d,365550-ESR-016,,365550-ESR-016-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.258084+00:00
2026,ESR켄달스퀘어리츠,TP-b0ecddc79c1d,365550-ESR-016,,365550-ESR-016-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.258094+00:00
2026,ESR켄달스퀘어리츠,TP-8edaf38e7112,365550-ESR-017,,365550-ESR-017-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.264291+00:00
2026,ESR켄달스퀘어리츠,TP-8edaf38e7112,365550-ESR-017,,365550-ESR-017-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.264310+00:00
2026,ESR켄달스퀘어리츠,TP-8edaf38e7112,365550-ESR-017,,365550-ESR-017-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.264320+00:00
2026,ESR켄달스퀘어리츠,TP-8edaf38e7112,365550-ESR-017,,365550-ESR-017-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.264332+00:00
2026,ESR켄달스퀘어리츠,TP-2d34d3889869,365550-ESR-018,,365550-ESR-018-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.270341+00:00
2026,ESR켄달스퀘어리츠,TP-2d34d3889869,365550-ESR-018,,365550-ESR-018-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.270360+00:00
2026,ESR켄달스퀘어리츠,TP-2d34d3889869,365550-ESR-018,,365550-ESR-018-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.270367+00:00
2026,ESR켄달스퀘어리츠,TP-2d34d3889869,365550-ESR-018,,365550-ESR-018-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.270375+00:00
2026,ESR켄달스퀘어리츠,TP-94d699294842,365550-ESR-019,,365550-ESR-019-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.276475+00:00
2026,ESR켄달스퀘어리츠,TP-94d699294842,365550-ESR-019,,365550-ESR-019-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.276493+00:00
2026,ESR켄달스퀘어리츠,TP-94d699294842,365550-ESR-019,,365550-ESR-019-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.276500+00:00
2026,ESR켄달스퀘어리츠,TP-94d699294842,365550-ESR-019,,365550-ESR-019-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.276507+00:00
2026,ESR켄달스퀘어리츠,TP-bf1f8097e308,365550-ESR-020,,365550-ESR-020-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.281869+00:00
2026,ESR켄달스퀘어리츠,TP-bf1f8097e308,365550-ESR-020,,365550-ESR-020-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.281890+00:00
2026,ESR켄달스퀘어리츠,TP-bf1f8097e308,365550-ESR-020,,365550-ESR-020-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.281897+00:00
2026,ESR켄달스퀘어리츠,TP-bf1f8097e308,365550-ESR-020,,365550-ESR-020-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.281904+00:00
2026,ESR켄달스퀘어리츠,TP-e322d62a2d54,365550-ESR-021,,365550-ESR-021-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.287421+00:00
2026,ESR켄달스퀘어리츠,TP-e322d62a2d54,365550-ESR-021,,365550-ESR-021-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.287441+00:00
2026,ESR켄달스퀘어리츠,TP-e322d62a2d54,365550-ESR-021,,365550-ESR-021-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.287450+00:00
2026,ESR켄달스퀘어리츠,TP-e322d62a2d54,365550-ESR-021,,365550-ESR-021-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.287459+00:00
2026,ESR켄달스퀘어리츠,TP-0affebc1928e,,,,토지분 종합부동산세,undetermined,,,,,,,,,,,,,manual_review_required,,,,토지 과세구분의 법적 판정이 공식 검증되지 않았습니다.,,2026-07-15T05:47:09.305182+00:00
2026,ESR켄달스퀘어리츠,TP-0affebc1928e,,,,종합부동산세분 농어촌특별세,undetermined,,,,,,,,,,,,,data_insufficient,,,,종합부동산세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.305207+00:00
2026,ESR켄달스퀘어리츠,TP-2d34d3889869,,,,토지분 종합부동산세,undetermined,,,,,,,,,,,,,manual_review_required,,,,토지 과세구분의 법적 판정이 공식 검증되지 않았습니다.,,2026-07-15T05:47:09.309834+00:00
2026,ESR켄달스퀘어리츠,TP-2d34d3889869,,,,종합부동산세분 농어촌특별세,undetermined,,,,,,,,,,,,,data_insufficient,,,,종합부동산세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.309851+00:00
2026,ESR켄달스퀘어리츠,TP-42486f7a9dfb,,,,토지분 종합부동산세,undetermined,,,,,,,,,,,,,manual_review_required,,,,토지 과세구분의 법적 판정이 공식 검증되지 않았습니다.,,2026-07-15T05:47:09.313002+00:00
