reit_name,document_type,document_name,document_date,source_url,local_cache_path,sha256,downloaded_at,extraction_status,relevant_pages,notes
ESR켄달스퀘어리츠,portfolio_asset_detail,Icheon Logistics Park 2,,https://www.esrks-reit.com/en/portfolio/map/56dfe3a8-71c7-5717-870b-0716a53a94a1,,828c2442b666b7a3ba314f5ca232738e7885108d102d283ecd22551df7954e9f,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Icheon Logistics Park 3,,https://www.esrks-reit.com/en/portfolio/map/3529c6ad-5d3d-54fe-8182-d30a93a5fc38,,86863783c15cede1f6e0a5768279fa8488ab17272054d836a4a67d16015b78a4,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Icheon Logistcs Park 8,,https://www.esrks-reit.com/en/portfolio/map/30a2a033-7bc7-535a-8bac-1e7cd8f7419a,,2f898c69055946e82dc84c6ca35329bc21ca10c2b0c8b0dbb67543458ad9b9e6,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Icheon Logistics Park 7,,https://www.esrks-reit.com/en/portfolio/map/a9dc74bc-9d0d-5c5a-829c-451032ac3b1c,,6c738fc158547c99a5525eb5cf9eaa1d68e953c78753d5197b4c5ae72c5c507e,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Pyeongtaek Logistics Park,,https://www.esrks-reit.com/en/portfolio/map/c23cd379-89d7-5a62-8dce-dc2a650a8f82,,fa5c57e1d97c7a510ed53d64ed1b37c45ff2b3d41d00048b0376580b89ba94c4,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Anseong Logistics Park 1,,https://www.esrks-reit.com/en/portfolio/map/f54f2f9d-1c52-5914-81f7-a1e2de3245b5,,2fcc83bec4fabd1b208f11b56fadec8a4703b58580580bd71a6c3e681af788f8,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Anseong Logistics Park 2,,https://www.esrks-reit.com/en/portfolio/map/ad484970-51a8-5715-86f9-c40020910b29,,94a1bda0f7089c306c927a54223097efa3941bc064644f67a2b78667b9386f09,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Anseong Logistics Park 3,,https://www.esrks-reit.com/en/portfolio/map/62c74be3-cc12-5178-8139-3129a860bb84,,0770b28215f4e0e96a52dc5037b25b9d98d87855a1b51727925ebd4789ca594f,2026-07-15T05:46:59.489143+00:00,official_partial,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Anseong Logistics Park 4,,https://www.esrks-reit.com/en/portfolio/map/c02a0753-1154-5194-8637-719a18cf82ea,,3c146300a75135ef7b82ba77a450f5fd711213d3409cd456917aac24e79be270,2026-07-15T05:46:59.489143+00:00,data_insufficient,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Gimhae Logistics Park 1,,https://www.esrks-reit.com/en/portfolio/map/119ff6e9-9dd2-5693-845e-a35320871edb,,cc7ac69a5149e2ce5f99d225b0d9b69fcd990c9b1aa9f15d6b6ec4787e677650,2026-07-15T05:46:59.489143+00:00,data_insufficient,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
ESR켄달스퀘어리츠,portfolio_asset_detail,Gimhae Logistics Park 2,,https://www.esrks-reit.com/en/portfolio/map/bf8ce01a-e1a8-5da8-8ace-c66a9ded3ae0,,074056e9b7005f1400d91c109d313c4e8eff1bbc5c5a6f872c024f02761605e9,2026-07-15T05:46:59.489143+00:00,data_insufficient,HTML,주소·연면적 확인; 소유자·필지·시가표준액 미확인
SK리츠,official_website,공식 홈페이지,,http://www.skreit.co.kr,,,2026-07-15T05:48:19.538373+00:00,download_failed,,3회 이내 재시도 후 실패 또는 오프라인 캐시 없음: RuntimeError
SK리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:19.538521+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
롯데리츠,official_website,공식 홈페이지,,http://www.lottereit.co.kr,.cache\v15\source_documents\89a8add99f5a08742a5e571211a8732e00bdf2e741c3161ef5c8b7093d0efbb4.html,591f1b6e39cc7b37629552045df54563476b669ae6c65695e1b4482d27a8dcd5,2026-07-15T05:48:19.761311+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 1건 식별
